,DATE,AUTHOR,IMAGE,TEXT,KEYWORDS,SUMMARY
0,8-1-2010,[],https://static.toiimg.com/photo/msid-5423538/5423538.jpg?19684,"Junali Devi, a widow living in Assam, is eagerly awaiting the launch of India's first matrimonial website for HIV-positive people.

(www.hitchiv.com)

Guwahati's 35-year-old Junali (name changed on request), who lost her husband three years ago to HIV/AIDS, is among thousands of HIV-positive people in northeast India and elsewhere excited by the prospects of finding a good match through the website.""I am pinning all my hopes to find a genuine match on the proposed website. I want to live a life with dignity and want someone who is intelligent, sober, and caring,"" Junali told IANS.The websiteto be launched later this month at the behest of the Indian Network for People Living with HIV/AIDS (INP+) has already generated a lot of interest among HIV- positive people.""We have already got about 150 to 200 requests for membership despite the fact that the website is yet to be launched,"" Jahnabi Goswami, president of INP+, said.Goswami, 32, is one of the few women in India fighting to raise awareness about the disease. She belongs to an even smaller group of people who have publicly declared that they are HIV- positive.Membership to the website would be open only to people living with HIV/AIDS. ""Strict privacy would be maintained and only registered members will be able to log in and scan profiles of prospective partners,"" Goswami said.There are thousands of people living with HIV/AIDS interested in marriage and leading a normal life with dignity, but since they cannot get in touch with like-minded people, their dreams remained unfulfilled.""It is an excellent idea to have this website as marriages between an HIV- positive couple would enable them not only to lead a happy life but also to take care of and support each other, which is very important,"" S.I. Ahmed, head of the AIDS Prevention Society, a community healthcare group in Assam, said.INP+ would arrange pre-marital counselling to prospective couples interested in having children post-marriage. ""When it comes to marriage the couple would surely be told about the pros and cons,"" Ahmed added.","['hivaids', 'hiv', 'website', 'positive', 'special', 'life', 'prospective', 'excites', 'thousands', 'living', 'junali', 'marriage', 'told']","Junali Devi, a widow living in Assam, is eagerly awaiting the launch of India's first matrimonial website for HIV-positive people.
""I am pinning all my hopes to find a genuine match on the proposed website.
She belongs to an even smaller group of people who have publicly declared that they are HIV- positive.Membership to the website would be open only to people living with HIV/AIDS.
""It is an excellent idea to have this website as marriages between an HIV- positive couple would enable them not only to lead a happy life but also to take care of and support each other, which is very important,"" S.I.
""When it comes to marriage the couple would surely be told about the pros and cons,"" Ahmed added."
1,11-1-2010,['Karthika Gopalakrishnan'],https://static.toiimg.com/photo/msid-47529300/47529300.jpg,"CHENNAI: Researchers working towards a cure for HIV-AIDS have hit upon possibilities with true potential to transform into viable solutions in the future, said Robert T Schooley , head, division of infectious diseases, University of California, San Diego. With his previous experience as chair of the AIDS Clinical Trials Group, reputedly among the most productive multinational research organizations working on HIV pathogenesis and therapy, Schooley was an important contributor to the two-day ART Symposium in the city organized by YRG Care over the weekend to discuss cutting-edge technology in the field.Speaking to TOI on Sunday about new scientific advances in the field, Schooley said, ""There are a host of approaches being adopted by researchers worldwide to try and eradicate HIV however the approaches using either enzymes or RNA to remove infected cells are ultimately the most hopeful and will be the least disruptive for the patient. Paula Cannon, a researcher from California, for instance, has been working on ways to identify HIV-infected cells called CD4 cells (so called because they have a molecule on the surface called CD4) which is a gateway for the virus. These cells have a second molecule called CCR5 which is a second door that the virus has to pass through. Now, she has created a way for the second molecule to be changed so that they virus cannot recognize it. In this approach, the virus stays outside the cell."" Elaborating on Cannon's research, he said she had been able to demonstrate it successfully in mice.""The next step will be to take people with HIV infection who have lymphoma and so, would need a bone marrow transplant for their tumours. She would treat the stem cells and hopefully the bone marrow so grafted would afford the patients' cells protection from HIV,"" Schooley said. Pointing out that this was an experiment that had to be done, he cited the example of a similar case but with a natural modification of the CCR5 molecule being reported in the New York Journal of Medicine about 18 months ago. ""After the HIV-infected individual underwent a bone marrow transplant from such a donor, no one could demonstrate the presence of HIV in the patient. So, there is certainly some preliminary support for her research,"" he said.Commenting on India's research potential, Schooley said that biotechnology was growing at an excellent pace in the country. ""There is some state of the art research work being carried out by YRG Care and some fantastically sophisticated research at National Aids Research Institute, Pune. In fact, the component sites that we have in Chennai and Pune are among the most productive. We are carrying out trials on the best drugs to use for HIV infections, treating people with drug failure and drug resistance and treating people suffering from HIV and Tuberculosis at the same time. There is a lot of important work being carried out over here. India is one of the best places for research activity worldwide,"" he added.","['hiv', 'schooley', 'hopeful', 'research', 'researchers', 'second', 'virus', 'called', 'cells', 'working', 'finding', 'molecule', 'marrow', 'cure']","These cells have a second molecule called CCR5 which is a second door that the virus has to pass through.
Now, she has created a way for the second molecule to be changed so that they virus cannot recognize it.
""The next step will be to take people with HIV infection who have lymphoma and so, would need a bone marrow transplant for their tumours.
She would treat the stem cells and hopefully the bone marrow so grafted would afford the patients' cells protection from HIV,"" Schooley said.
""After the HIV-infected individual underwent a bone marrow transplant from such a donor, no one could demonstrate the presence of HIV in the patient."
2,12-1-2010,[],https://static.toiimg.com/photo/msid-47529300/47529300.jpg,"LUCKNOW: After running from the pillar to post for an year with no positive response from any of the government and non-government organisations (NGOs), 19-year-old Poonam (name changed) as a last resort has written an open letter to the chief minister Mayawati for help. The hapless woman was thrown out by her husband after she had tested HIV+ during delivery of her baby last year. Although she got the infection from her husband but the latter refuses to keep her saying that he has no money to bear the cost of treatment. He has also kept the baby with him.“I knocked at every door possible, be it NGOs or government organisations but only got sympathies,” said Poonam while narrating how her husband snatched her four-month-old daughter from her and threw her out of the house. “With no money and means of livelihood, I first went to my parents but my father was also not ready to accept me. My mother, however, intervened and helped me in approaching various government agencies and NGOs for help. However, at all the places people only made promises but none helped,” she rued. Poonam only want a job so that she can be financially independent and can claim custody of her daughter.In her letter, Poonam has described how hundreds of HIV+ women like her who want to stand on their feet and fight stigma but are being pushed back by government agencies and NGOs who thrive on grants procured in the name of HIV/AIDS awareness and welfare. “I hope being a women chief minister will help me out,” said Poonam who signed the letter “one of your daughter”. A dejected Poonam has also said that she would be forced to commit suicide, if no help came from the chief minister. “ What option do I have...should I take to prostitution and infect others...or beg on streets... better to end life,” she said.Poonam was just 16 when she was married to one Rajesh, who works as salesman in a small firm. The marriage does not have a legal sanctity because she was minor at that time. She has studied till class XI, which is also not enough to get a job. “ I understand the limitations but I am only asking for a job, may be a peon or a counsellor at any AIDS awareness centre or any task which may earn enough to take care of myself,” she said. At present, she survives on little money her mother sends every month. During the day, she wanders on the streets looking for work and in the night finds shelter in railways and bus stations.The woman also knocked the door of the State Women Commission and State Aids Control Society as well as other NGOs working for HIV positive people but got only assurances. The episode has also exposed the poor state of affairs in government set up for providing relief and rehabilitation to abandoned HIV+ women and children. There are over 1000 NGOs, funded by the government and other national international organisations, working in the field of HIV/AIDS in UP but none have any shelter home, barring ‘Shanti Niketan’ run by the ‘Sisters of Saint Joseph’, a Christian missionary organisation, but it has limited capacity.The state has over 1.4 lakh HIV+ people, of which nearly 30% are widows who acquired infection from their husbands but after their death were disowned by in-laws. Many like Poonam are denied shelter by their parents as well. Some also have children. The only option for them is to lead a traumatised life and die in oblivion. Officers claim that government gives enough funds to the NGOs for the job. The Lucknow Network for People living with HIV and AIDS has been helping such widows but resources are limited. Members complain that NGOs take grants in the name of HIV/AIDS but have done more harm to victims than infection.","['hiv', 'ngos', 'money', 'shelter', 'poonam', 'job', 'dumped', 'organisations', 'husband', 'women', 'woman', 'seeks', 'help', 'state', 'cms']","The hapless woman was thrown out by her husband after she had tested HIV+ during delivery of her baby last year.
My mother, however, intervened and helped me in approaching various government agencies and NGOs for help.
“I hope being a women chief minister will help me out,” said Poonam who signed the letter “one of your daughter”.
The episode has also exposed the poor state of affairs in government set up for providing relief and rehabilitation to abandoned HIV+ women and children.
The Lucknow Network for People living with HIV and AIDS has been helping such widows but resources are limited."
3,30-1-2010,[],https://static.toiimg.com/photo/msid-47529300/47529300.jpg,"BANGALORE: Nutrition, education and property rights. That's what children who are HIV positive demand from society. Better access to medical treatment and easy access to nutrition and continuation of education are among their primary demands.After a public hearing on `Child rights -- issues and entitlements of the orphan and vulnerable children affected/infected by HIV/ AIDS', Shantha Sinha, chairperson, National Commission for Protection of Child Rights (NCPCR), said four things topped their list of demands. ""A comprehensive nutrition programme is needed. Continuation of education is a problem for most because of social stigma,"" she said.The question of property rights is another bane for these children because many are thrown out of their homes with even siblings distancing themselves. ""This is fracturing families. Also, in several cases, there are no parents and children have to take care of the family. There are no rules on these cases ought to be handled,"" she added.The national commission is also mulling over a comprehensive child health policy and on conducting such public hearing at the district level. These have been held in Andhra Pradesh, Manipur and Tamil Nadu. A pilot hearing in Udupi, where the incidence of HIV/AIDS affected children is very high, is being considered.Both the national and state commissions were unanimous in saying the biggest problem was that there was no data on children affected by HIV/AIDS. However, it's estimated there are about 55,000 children orphaned due to AIDS or other reasons in just three districts of Belgaum, Bagalkot and Bellary.Guidelines not operationalThough there are guidelines for children with HIV/AIDS, which have details on how to handle such cases, social workers say these are not yet operational on ground. Neither has the HIV Bill been passed.Nina P Naik, chairperson, Karnataka State Commission for Protection of Child Rights, said there was no plan in the state for children affected with HIV/AIDS. If parents die, the ration card for the family is cancelled and they are not considered to be below the poverty line. ""HIV positive women with a son over 18 years no longer gets a widow pension. There is also a movement nationwide to include HIV positive people under the disability pension scheme,"" she added.It's been estimated that every 15 seconds a child loses a parent to AIDS and there are about 2 million children under 15 years who are living with HIV. According to a UNAIDS 2008 report, about 15 million orphans are AIDS orphans.toiblr.reporter@timesgroup.com","['hivaids', 'hiv', 'positive', 'aids', 'children', 'rights', 'education', 'better', 'kids', 'child', 'nutrition', 'national', 'need', 'state']","BANGALORE: Nutrition, education and property rights.
That's what children who are HIV positive demand from society.
Better access to medical treatment and easy access to nutrition and continuation of education are among their primary demands.After a public hearing on `Child rights -- issues and entitlements of the orphan and vulnerable children affected/infected by HIV/ AIDS', Shantha Sinha, chairperson, National Commission for Protection of Child Rights (NCPCR), said four things topped their list of demands.
Neither has the HIV Bill been passed.Nina P Naik, chairperson, Karnataka State Commission for Protection of Child Rights, said there was no plan in the state for children affected with HIV/AIDS.
""HIV positive women with a son over 18 years no longer gets a widow pension."
4,1-2-2010,['Kounteya Sinha'],https://static.toiimg.com/photo/msid-47529300/47529300.jpg,"NEW DELHI: A vaccine to protect HIV patients from contracting tuberculosis (TB) and ultimately dying of it has finally become a reality.After a seven-year-long trial in Africa, scientists have for the first time developed a vaccine that was succesful in reducing the rate of definite TB infection by almost 39% among 2,000 HIV-infected patients in Tanzania.TB is the biggest killer of HIV-infected patients in the world. In India, over 60% of HIV-infected patients with a weak immunity system get infected with TB and ultimately die of it.Scientists from Dartmouth Medical School (DMS) have reported results of their clinical trial of this new vaccine against TB -- Mycobacterium vaccae (MV) -- in the January 29 online issue of the journal AIDS. The study will be published in the March print issue of the journal.Principal investigator Ford von Reyn from DMS said, ""Since development of a new vaccine against TB is a major international health priority, especially for patients with HIV infection, we and our Tanzanian collaborators are very encouraged by the results of the study.""The vaccine is a type known as an inactivated, whole-cell mycobacterial vaccine and is expected to be economical to produce and distribute.Von Reyn described the trial as a ""significant milestone -- the first to demonstrate that any type of vaccine can prevent an infectious complication of HIV in adults"".He added that the next steps are to improve the manufacturing methods to support the production of the larger quantities of the TB vaccine needed for further studies and subsequent clinical use.Health ministry officials in Delhi say the vaccine gives tremendous hope to India which has a huge burden of both TB and HIV patients.Of the over two million HIV-infected Indians, over 10% are expected to have full blown AIDS. Every AIDS patient has 15% chance every year of developing TB, which shows that every AIDS patient will develop TB some time in his life.""That's why under India's latest AIDS control programme, we are dealing with TB and HIV simultaneously. When people become infected with TB and AIDS, it is almost always an irreversible formula,"" ministry officials said.Since newly-infected HIV patients risk contracting TB almost immediately, investigators are targeting a strategy for immunization with MV before patients need to start taking antiretroviral drugs.The scientific team at Dartmouth began Phase-I human studies with MV in the United States in 1994 and demonstrated that a multiple-dose series of MV was safe in both healthy subjects and patients with HIV infection.The group then conducted Phase-II studies in larger groups of adults in Zambia and in Finland. In the Zambian trial, researchers found that MV boosted immune responses against TB that had first been primed in childhood with the current TB vaccine, BCG.Subsequently, the DarDar group received NIH funding to conduct the large Phase-III efficacy trial among HIV-infected patients with prior BCG immunization in Tanzania.HIV patients are particularly vulnerable to TB because their immune systems are compromised. The vaccine works by boosting the immune responses of patients who have already been given the BCG vaccine earlier in life.","['hiv', 'mv', 'aids', 'tb', 'hivinfected', 'patients', 'vaccine', 'getting', 'trial', 'prevent', 'shot', 'studies', 'immune']","NEW DELHI: A vaccine to protect HIV patients from contracting tuberculosis (TB) and ultimately dying of it has finally become a reality.After a seven-year-long trial in Africa, scientists have for the first time developed a vaccine that was succesful in reducing the rate of definite TB infection by almost 39% among 2,000 HIV-infected patients in Tanzania.TB is the biggest killer of HIV-infected patients in the world.
Every AIDS patient has 15% chance every year of developing TB, which shows that every AIDS patient will develop TB some time in his life.
""That's why under India's latest AIDS control programme, we are dealing with TB and HIV simultaneously.
In the Zambian trial, researchers found that MV boosted immune responses against TB that had first been primed in childhood with the current TB vaccine, BCG.Subsequently, the DarDar group received NIH funding to conduct the large Phase-III efficacy trial among HIV-infected patients with prior BCG immunization in Tanzania.HIV patients are particularly vulnerable to TB because their immune systems are compromised.
The vaccine works by boosting the immune responses of patients who have already been given the BCG vaccine earlier in life."
5,2-2-2010,['Sanjeev Kumar Verma'],https://static.toiimg.com/photo/msid-47529300/47529300.jpg,"PATNA: With two new anti-retroviral therapy (ART) centres likely to become functional in the state by the year-end, HIV carriers can expect better availability of the therapy. The new ART centres are coming up at Rajendra Memorial Research Institute-Patna and Anugrah Narain Medical College and Hospital-Gaya The state already has four ART centres at Patna Medical College and Hospital, Sri Krishna Medical College and Hospital-Muzaffarpur, Darbhanga Medical College and Hospital-Laheriasarai and Jawaharlal Nehru Medical College and Hospital-Bhagalpur.ART centres provide facilities like counselling, pathological tests for assessing the CD4 count and free medicines, if required.Bihar has at present 13,539 HIV+ persons registered with the existing ART centres. Of them, 6,478 have been put on ART therapy. This therapy is started once the CD4 count falls below 200.""Dedicated manpower has already been deputed for the two new ART centres which will become functional once the civil work is completed by December-end,"" Bihar State Aids Control Society (BSACS) additional project director Sibi Alex told TOI.He said some of the patients registered with the existing ART centres would be shifted to the new ones. This would not only rationalise the distribution of workload to the ART centres but also reduce the distance the HIV+ patients have to cover to reach these centres.Plans are also afoot to start 19 link ART centres in addition to the existing five. ""This would further make things easier for the HIV+ cases,"" Alex said.The link ART centres free the HIV+ patients of the vicinity from the monthly chore of coming to the ART centres as they get counselling and medicines at the link ART centres. They, however, have to come to the ART centres for the CD count test every six months.The five link ART centres which have recently been made functional are at Nawada, Begusarai, Saran, Hajipur and Mokama. The process of linking HIV+ cases of these areas with the link centres is on.The new link ART centres are likely to become functional within the next three months in Bhojpur, Gopalganj, Arwal, Lakhisarai, Samastipur, East Champaran, West Champaran, Sitamarhi, Madhubani, Munger, Kishanganj, Katihar, Purnia, Araria, Khagaria, Nalanda, Siwan, Jehanabad and Aurangabad districts.","['hiv', 'medical', 'patients', 'link', 'therapy', 'centres', 'art', 'functional', 'state', 'yearend', 'college']","PATNA: With two new anti-retroviral therapy (ART) centres likely to become functional in the state by the year-end, HIV carriers can expect better availability of the therapy.
Of them, 6,478 have been put on ART therapy.
This would not only rationalise the distribution of workload to the ART centres but also reduce the distance the HIV+ patients have to cover to reach these centres.Plans are also afoot to start 19 link ART centres in addition to the existing five.
""This would further make things easier for the HIV+ cases,"" Alex said.The link ART centres free the HIV+ patients of the vicinity from the monthly chore of coming to the ART centres as they get counselling and medicines at the link ART centres.
They, however, have to come to the ART centres for the CD count test every six months.The five link ART centres which have recently been made functional are at Nawada, Begusarai, Saran, Hajipur and Mokama."
6,6-2-2010,['Sanjeev Kumar Verma'],https://static.toiimg.com/photo/msid-47529300/47529300.jpg,"PATNA: With two new anti-retroviral therapy (ART) centres likely to become functional in the state by the year-end, HIV carriers can expect better availability of the therapy. The new ART centres are coming up at Rajendra Memorial Research Institute-Patna and Anugrah Narain Medical College and Hospital-Gaya.The state already has four ART centres at Patna Medical College and Hospital, Sri Krishna Medical College and Hospital-Muzaffarpur, Darbhanga Medical College and Hospital-Laheriasarai and Jawaharlal Nehru Medical College and Hospital-Bhagalpur.ART centres provide facilities like counselling, pathological tests for assessing the CD4 count and free medicines, if required.Bihar has at present 13,539 HIV+ persons registered with the existing ART centres. Of them, 6,478 have been put on ART therapy. This therapy is started once the CD4 count falls below 200.""Dedicated manpower has already been deputed for the two new ART centres which will become functional once the civil work is completed by December-end,"" Bihar State Aids Control Society (BSACS) additional project director Sibi Alex told TOI.He said some of the patients registered with the existing ART centres would be shifted to the new ones. This would not only rationalise the distribution of workload to the ART centres but also reduce the distance the HIV+ patients have to cover to reach these centres.Plans are also afoot to start 19 link ART centres in addition to the existing five. ""This would further make things easier for the HIV+ cases,"" Alex said.The link ART centres free the HIV+ patients of the vicinity from the monthly chore of coming to the ART centres as they get counselling and medicines at the link ART centres. They, however, have to come to the ART centres for the CD count test every six months.The five link ART centres which have recently been made functional are at Nawada, Begusarai, Saran, Hajipur and Mokama. The process of linking HIV+ cases of these areas with the link centres is on.The new link ART centres are likely to become functional within the next three months in Bhojpur, Gopalganj, Arwal, Lakhisarai, Samastipur, East Champaran, West Champaran, Sitamarhi, Madhubani, Munger, Kishanganj, Katihar, Purnia, Araria, Khagaria, Nalanda, Siwan, Jehanabad and Aurangabad districts.","['hiv', 'medical', 'patients', 'link', 'therapy', 'centres', 'art', 'functional', 'state', 'yearend', 'college']","PATNA: With two new anti-retroviral therapy (ART) centres likely to become functional in the state by the year-end, HIV carriers can expect better availability of the therapy.
Of them, 6,478 have been put on ART therapy.
This would not only rationalise the distribution of workload to the ART centres but also reduce the distance the HIV+ patients have to cover to reach these centres.Plans are also afoot to start 19 link ART centres in addition to the existing five.
""This would further make things easier for the HIV+ cases,"" Alex said.The link ART centres free the HIV+ patients of the vicinity from the monthly chore of coming to the ART centres as they get counselling and medicines at the link ART centres.
They, however, have to come to the ART centres for the CD count test every six months.The five link ART centres which have recently been made functional are at Nawada, Begusarai, Saran, Hajipur and Mokama."
7,7-2-2010,[],https://static.toiimg.com/photo/msid-47529300/47529300.jpg,"Two new HIV+ cases reported from district jail

New cases of HIV positive are being reported from the prisons of Varanasi division. On Saturday, two new cases of HIV positive were detected in the district jail.","['hiv', 'positive', 'jail', 'prisons', 'varanasi', 'jailnew', 'division', 'district', 'cases', 'reported']","Two new HIV+ cases reported from district jailNew cases of HIV positive are being reported from the prisons of Varanasi division.
On Saturday, two new cases of HIV positive were detected in the district jail."
8,11-2-2010,[],https://static.toiimg.com/photo/msid-47529300/47529300.jpg,"ALLAHABAD: Ostracised by society and abandoned by family members, a young HIV patient allegedly committed suicide by setting himself afire in the district, police said here on Wednesday.The incident took place in Koskharatala Mahadevpura village of Koraon tehsil, about 65 kms from here, when the 25-year-old youth took the extreme step on Tuesday night, police said.The youth's HIV status was detected last year when he went in for tests following prolonged illness. The results evoked disdain from villagers who banished him from all community gatherings for fear of ""spread of infection"", police said.This compelled the youth to move out of his house a few months ago and live in a tiny hut on the outskirts of the village.","['commits', 'village', 'hiv', 'youths', 'young', 'villagers', 'wednesdaythe', 'hivafflicted', 'suicide', 'tiny', 'took', 'went', 'allahabad', 'youth']","ALLAHABAD: Ostracised by society and abandoned by family members, a young HIV patient allegedly committed suicide by setting himself afire in the district, police said here on Wednesday.The incident took place in Koskharatala Mahadevpura village of Koraon tehsil, about 65 kms from here, when the 25-year-old youth took the extreme step on Tuesday night, police said.The youth's HIV status was detected last year when he went in for tests following prolonged illness.
The results evoked disdain from villagers who banished him from all community gatherings for fear of ""spread of infection"", police said.This compelled the youth to move out of his house a few months ago and live in a tiny hut on the outskirts of the village."
9,14-2-2010,['Ashish Tripathi'],https://static.toiimg.com/photo/msid-47529300/47529300.jpg,"LUCKNOW: When it comes to ‘extortion’, the Lucknow police, it seems, spare none. Here’s what they did to an HIV-positive woman: Thrown out by her husband after she delivered her baby and was diagnosed with the infection, Poonam (name changed) had to write to the chief minister for justice. The police swung into action, but now they demand a price for finding her absconding husband.The local police has asked Poonam to hire a vehicle and give them money for petrol and ‘other expenses’ if she wants them to locate her husband. Poonam was only 16 years old when she got married to Rajesh, a salesman in a local firm. She came to know about her positive status during delivery of her daughter in May last year. The husband threw her out saying that he did not have enough money for the treatment. Rajesh also kept the baby.The hapless woman was also disowned by her father. She knocked at every possible door, but nothing happened. She then wrote to the chief minister last month. The CM’s office directed State AIDS Control Society to help Poonam get a job and asked police to take action against her husband and help her get custody of her daughter.","['hiv', 'rajesh', 'money', 'local', 'petrol', 'pay', 'cops', 'poonam', 'husband', 'locate', 'woman', 'ask', 'lucknow', 'help', 'daughter', 'minister']","LUCKNOW: When it comes to ‘extortion’, the Lucknow police, it seems, spare none.
Poonam was only 16 years old when she got married to Rajesh, a salesman in a local firm.
The husband threw her out saying that he did not have enough money for the treatment.
Rajesh also kept the baby.The hapless woman was also disowned by her father.
The CM’s office directed State AIDS Control Society to help Poonam get a job and asked police to take action against her husband and help her get custody of her daughter."
